,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
6023,0.651,0.782,1.0,-4.622,1.0,0.0303,0.23,0.0,0.139,0.619,94.94,audio_features,0uSGTaHms9ceAxb7L6VLrU,spotify:track:0uSGTaHms9ceAxb7L6VLrU,https://api.spotify.com/v1/tracks/0uSGTaHms9ceAxb7L6VLrU,https://api.spotify.com/v1/audio-analysis/0uSGTaHms9ceAxb7L6VLrU,169612.0,4.0
6024,0.647,0.754,10.0,-5.446,1.0,0.0378,0.015,0.0,0.0684,0.755,97.005,audio_features,7nGuT0EfqQ1TXcADEKwB6Q,spotify:track:7nGuT0EfqQ1TXcADEKwB6Q,https://api.spotify.com/v1/tracks/7nGuT0EfqQ1TXcADEKwB6Q,https://api.spotify.com/v1/audio-analysis/7nGuT0EfqQ1TXcADEKwB6Q,194898.0,4.0
6025,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,audio_features,1Slwb6dOYkBlWal1PGtnNg,spotify:track:1Slwb6dOYkBlWal1PGtnNg,https://api.spotify.com/v1/tracks/1Slwb6dOYkBlWal1PGtnNg,https://api.spotify.com/v1/audio-analysis/1Slwb6dOYkBlWal1PGtnNg,281560.0,4.0
6026,0.778,0.695,4.0,-6.865,0.0,0.0913,0.175,0.0,0.15,0.472,149.996,audio_features,0BGwAKW4u8kWOhWFflZxfl,spotify:track:0BGwAKW4u8kWOhWFflZxfl,https://api.spotify.com/v1/tracks/0BGwAKW4u8kWOhWFflZxfl,https://api.spotify.com/v1/audio-analysis/0BGwAKW4u8kWOhWFflZxfl,132780.0,4.0
6027,0.771,0.848,2.0,-7.365,1.0,0.035,0.108,0.0,0.35,0.803,115.642,audio_features,0NLBwQBYJhEM9t3KAMPFVR,spotify:track:0NLBwQBYJhEM9t3KAMPFVR,https://api.spotify.com/v1/tracks/0NLBwQBYJhEM9t3KAMPFVR,https://api.spotify.com/v1/audio-analysis/0NLBwQBYJhEM9t3KAMPFVR,152187.0,4.0
6028,0.563,0.874,2.0,-4.122,1.0,0.0377,0.114,0.0,0.109,0.232,102.021,audio_features,1vxjmNMsJRLEhoYGpOXOXB,spotify:track:1vxjmNMsJRLEhoYGpOXOXB,https://api.spotify.com/v1/tracks/1vxjmNMsJRLEhoYGpOXOXB,https://api.spotify.com/v1/audio-analysis/1vxjmNMsJRLEhoYGpOXOXB,229198.0,4.0
6029,0.667,0.673,4.0,-6.006,1.0,0.0536,0.117,0.0,0.343,0.706,151.834,audio_features,1gewemPOUilb21s7CfMS55,spotify:track:1gewemPOUilb21s7CfMS55,https://api.spotify.com/v1/tracks/1gewemPOUilb21s7CfMS55,https://api.spotify.com/v1/audio-analysis/1gewemPOUilb21s7CfMS55,229040.0,4.0
6030,0.653,0.816,11.0,-6.373,1.0,0.0638,0.376,1.61e-06,0.0754,0.802,91.894,audio_features,1XcUn5PE9d42zWamWgRG2x,spotify:track:1XcUn5PE9d42zWamWgRG2x,https://api.spotify.com/v1/tracks/1XcUn5PE9d42zWamWgRG2x,https://api.spotify.com/v1/audio-analysis/1XcUn5PE9d42zWamWgRG2x,226960.0,4.0
6031,0.65,0.515,6.0,-6.749,0.0,0.0468,0.0909,0.0,0.0869,0.52,146.882,audio_features,1wQfuPL7nfrZQrcSfd8kOS,spotify:track:1wQfuPL7nfrZQrcSfd8kOS,https://api.spotify.com/v1/tracks/1wQfuPL7nfrZQrcSfd8kOS,https://api.spotify.com/v1/audio-analysis/1wQfuPL7nfrZQrcSfd8kOS,162536.0,4.0
6032,0.862,0.763,7.0,-4.821,1.0,0.0764,0.17,0.0,0.151,0.893,99.998,audio_features,4U5CjTT6uObhD2vwnD4zOF,spotify:track:4U5CjTT6uObhD2vwnD4zOF,https://api.spotify.com/v1/tracks/4U5CjTT6uObhD2vwnD4zOF,https://api.spotify.com/v1/audio-analysis/4U5CjTT6uObhD2vwnD4zOF,236000.0,4.0
